test_taker_id,speech_prompt,essay_prompt,L1
03320,P1,P2,FRE
03321,P3,P4,ARA
03323,P7,P6,ARA
03325,P1,P2,ITA
03326,P7,P6,FRE
03327,P9,P0,GER
03329,P9,P0,CHI
03330,P3,P4,TUR
03331,P1,P2,CHI
03332,P4,P1,ARA
03333,P3,P4,JPN
03334,P2,P3,ITA
03335,P4,P1,ARA
03336,P1,P2,KOR
03337,P3,P4,TEL
03338,P9,P0,ITA
03340,P3,P4,FRE
03341,P8,P7,TUR
03342,P1,P2,SPA
03343,P6,P5,ARA
03344,P1,P2,TEL
03345,P3,P4,ARA
03346,P1,P2,SPA
03347,P7,P6,GER
03348,P4,P1,JPN
03349,P7,P6,GER
03350,P1,P2,TEL
03351,P4,P1,FRE
03352,P8,P7,TUR
03353,P6,P5,TUR
03354,P9,P0,CHI
03355,P4,P1,KOR
03357,P6,P5,TEL
03358,P7,P6,ARA
03359,P9,P0,ARA
03360,P3,P4,CHI
03361,P4,P1,CHI
03362,P3,P4,GER
03363,P6,P5,FRE
03364,P6,P5,ITA
03366,P9,P0,JPN
03368,P3,P4,ITA
03369,P9,P0,CHI
03370,P1,P2,SPA
03374,P1,P2,CHI
03375,P7,P6,TEL
03376,P8,P7,ITA
03377,P7,P6,GER
03378,P1,P2,TUR
03379,P6,P5,TEL
03380,P9,P0,TUR
03382,P6,P5,TUR
03383,P9,P0,ITA
03384,P3,P4,SPA
03385,P8,P7,TEL
03386,P6,P5,CHI
03388,P9,P0,TUR
03389,P8,P7,HIN
03390,P3,P4,FRE
03391,P9,P0,ARA
03392,P7,P6,GER
03393,P9,P0,ARA
03394,P8,P7,TEL
03396,P8,P7,ITA
03397,P7,P6,TEL
03398,P8,P7,KOR
03400,P6,P5,SPA
03401,P1,P2,TEL
03402,P7,P6,FRE
03404,P8,P7,ARA
03405,P9,P0,FRE
03406,P8,P7,TEL
03407,P6,P5,GER
03408,P4,P1,TUR
03409,P9,P0,HIN
03410,P3,P4,CHI
03411,P6,P5,TEL
03412,P4,P1,TUR
03413,P9,P0,SPA
03414,P6,P5,GER
03415,P9,P0,HIN
03416,P6,P5,TUR
03417,P1,P2,JPN
03418,P2,P3,FRE
03419,P8,P7,HIN
03420,P4,P1,FRE
03421,P8,P7,JPN
03422,P1,P2,GER
03423,P3,P4,CHI
03424,P1,P2,ARA
03425,P9,P0,JPN
03426,P6,P5,KOR
03427,P6,P5,ITA
03428,P6,P5,ITA
03429,P1,P2,ITA
03430,P8,P7,FRE
03432,P6,P5,ARA
03434,P9,P0,FRE
03435,P4,P1,ARA
03437,P1,P2,KOR
03438,P9,P0,CHI
03440,P1,P2,KOR
03441,P3,P4,HIN
03442,P1,P2,ARA
03443,P2,P3,SPA
03444,P2,P3,FRE
03445,P1,P2,CHI
03446,P3,P4,JPN
03447,P1,P2,FRE
03449,P8,P7,CHI
03450,P1,P2,ITA
03452,P4,P1,SPA
03453,P4,P1,SPA
03454,P3,P4,SPA
03455,P2,P3,JPN
03457,P6,P5,ARA
03458,P7,P6,HIN
03459,P3,P4,ARA
03460,P4,P1,JPN
03462,P2,P3,GER
03463,P7,P6,HIN
03464,P7,P6,ITA
03465,P9,P0,TUR
03466,P3,P4,HIN
03467,P1,P2,ITA
03468,P7,P6,TEL
03470,P1,P2,SPA
03471,P7,P6,TEL
03472,P9,P0,GER
03473,P1,P2,ARA
03474,P1,P2,TUR
03475,P9,P0,TEL
03476,P1,P2,KOR
03477,P4,P1,FRE
03479,P8,P7,JPN
03480,P6,P5,JPN
03481,P4,P1,SPA
03482,P4,P1,CHI
03483,P1,P2,JPN
03485,P7,P6,CHI
03486,P3,P4,CHI
03487,P3,P4,HIN
03489,P3,P4,ARA
03490,P8,P7,CHI
03491,P1,P2,FRE
03492,P8,P7,JPN
03493,P2,P3,TEL
03494,P1,P2,ARA
03495,P6,P5,TEL
03496,P8,P7,FRE
03497,P8,P7,HIN
03498,P7,P6,ITA
03499,P7,P6,FRE
03500,P3,P4,TUR
03501,P6,P5,ITA
03502,P1,P2,GER
03503,P7,P6,FRE
03504,P3,P4,FRE
03505,P1,P2,TUR
03507,P8,P7,HIN
03508,P7,P6,FRE
03509,P6,P5,ITA
03510,P3,P4,KOR
03511,P8,P7,ITA
03512,P4,P1,ARA
03513,P8,P7,FRE
03514,P1,P2,FRE
03515,P2,P3,KOR
03517,P2,P3,ARA
03518,P2,P3,ITA
03519,P6,P5,KOR
03520,P9,P0,FRE
03522,P6,P5,HIN
03523,P3,P4,ARA
03524,P4,P1,CHI
03525,P7,P6,ITA
03526,P8,P7,JPN
03527,P6,P5,TEL
03528,P3,P4,TEL
03530,P7,P6,ITA
03531,P3,P4,HIN
03532,P7,P6,ARA
03533,P3,P4,ITA
03534,P2,P3,FRE
03535,P7,P6,CHI
03537,P3,P4,HIN
03538,P3,P4,ARA
03539,P8,P7,SPA
03540,P6,P5,JPN
03541,P9,P0,ARA
03542,P7,P6,TEL
03543,P9,P0,SPA
03544,P8,P7,ITA
03545,P9,P0,TUR
03546,P9,P0,SPA
03547,P3,P4,TEL
03548,P2,P3,JPN
03549,P8,P7,TUR
03550,P6,P5,HIN
03551,P1,P2,CHI
03553,P7,P6,HIN
03554,P7,P6,TEL
03557,P4,P1,JPN
03558,P8,P7,GER
03560,P7,P6,TEL
03561,P9,P0,TUR
03562,P4,P1,ARA
03563,P9,P0,ITA
03564,P3,P4,FRE
03566,P1,P2,GER
03569,P6,P5,CHI
03570,P6,P5,KOR
03571,P9,P0,GER
03572,P1,P2,JPN
03574,P7,P6,ARA
03576,P1,P2,TUR
03577,P3,P4,CHI
03578,P4,P1,SPA
03579,P7,P6,TEL
03580,P2,P3,ITA
03581,P3,P4,TEL
03583,P1,P2,GER
03584,P2,P3,CHI
03585,P3,P4,SPA
03586,P6,P5,FRE
03587,P9,P0,SPA
03589,P9,P0,JPN
03590,P7,P6,SPA
03591,P7,P6,ARA
03592,P9,P0,ITA
03593,P9,P0,GER
03594,P8,P7,TUR
03595,P3,P4,FRE
03598,P9,P0,ITA
03599,P2,P3,TEL
03600,P8,P7,TEL
03602,P9,P0,CHI
03603,P6,P5,JPN
03604,P8,P7,JPN
03605,P3,P4,TUR
03606,P3,P4,TUR
03609,P2,P3,KOR
03610,P2,P3,GER
03611,P6,P5,SPA
03612,P1,P2,GER
03613,P6,P5,TEL
03615,P7,P6,ITA
03616,P2,P3,TEL
03617,P9,P0,KOR
03618,P9,P0,ITA
03619,P2,P3,HIN
03620,P3,P4,CHI
03621,P3,P4,CHI
03622,P7,P6,ITA
03623,P6,P5,ITA
03625,P8,P7,HIN
03627,P7,P6,TEL
03628,P7,P6,GER
03629,P9,P0,TUR
03631,P4,P1,ITA
03632,P1,P2,JPN
03633,P7,P6,TUR
03634,P6,P5,HIN
03635,P8,P7,TEL
03637,P9,P0,ITA
03638,P6,P5,HIN
03639,P1,P2,ARA
03640,P3,P4,FRE
03641,P1,P2,ARA
03642,P1,P2,ARA
03643,P1,P2,HIN
03644,P3,P4,TUR
03645,P1,P2,ARA
03646,P2,P3,KOR
03647,P8,P7,ARA
03648,P3,P4,KOR
03649,P3,P4,CHI
03650,P7,P6,KOR
03651,P6,P5,FRE
03652,P8,P7,FRE
03654,P2,P3,GER
03655,P4,P1,ITA
03656,P7,P6,SPA
03657,P2,P3,TEL
03658,P3,P4,GER
03659,P3,P4,KOR
03660,P1,P2,FRE
03661,P8,P7,CHI
03662,P2,P3,ARA
03663,P2,P3,FRE
03664,P1,P2,HIN
03665,P9,P0,FRE
03666,P2,P3,KOR
03667,P1,P2,SPA
03668,P4,P1,GER
03669,P8,P7,KOR
03670,P3,P4,CHI
03671,P3,P4,SPA
03672,P7,P6,HIN
03673,P2,P3,ARA
03674,P6,P5,GER
03677,P8,P7,ARA
03678,P2,P3,ARA
03679,P8,P7,ITA
03680,P6,P5,HIN
03681,P7,P6,KOR
03682,P2,P3,HIN
03683,P2,P3,ARA
03684,P3,P4,CHI
03685,P2,P3,TEL
03686,P4,P1,HIN
03687,P8,P7,JPN
03689,P1,P2,JPN
03691,P8,P7,TEL
03692,P7,P6,KOR
03693,P7,P6,JPN
03695,P7,P6,GER
03696,P7,P6,TEL
03698,P9,P0,HIN
03699,P6,P5,GER
03700,P6,P5,HIN
03701,P4,P1,JPN
03702,P1,P2,TUR
03703,P5,P4,SPA
03705,P6,P5,FRE
03706,P2,P3,GER
03707,P2,P3,GER
03708,P2,P3,CHI
03709,P2,P3,TEL
03710,P2,P3,CHI
03711,P3,P4,FRE
03712,P3,P4,CHI
03714,P9,P0,ITA
03715,P7,P6,CHI
03716,P3,P4,CHI
03717,P4,P1,CHI
03718,P1,P2,SPA
03719,P3,P4,ARA
03720,P6,P5,TEL
03722,P7,P6,TEL
03724,P3,P4,HIN
03725,P8,P7,TEL
03726,P1,P2,ITA
03727,P2,P3,TEL
03728,P7,P6,TUR
03729,P7,P6,CHI
03730,P3,P4,ITA
03731,P6,P5,HIN
03733,P1,P2,CHI
03734,P8,P7,TEL
03735,P2,P3,SPA
03736,P2,P3,HIN
03737,P2,P3,JPN
03738,P7,P6,TUR
03739,P1,P2,TEL
03740,P7,P6,KOR
03741,P7,P6,TUR
03742,P2,P3,ARA
03743,P4,P1,KOR
03744,P6,P5,HIN
03746,P1,P2,KOR
03747,P7,P6,SPA
03748,P6,P5,KOR
03749,P3,P4,CHI
03750,P3,P4,SPA
03751,P3,P4,KOR
03752,P9,P0,SPA
03753,P7,P6,GER
03754,P1,P2,FRE
03755,P9,P0,FRE
03757,P7,P6,JPN
03758,P7,P6,KOR
03761,P3,P4,ARA
03762,P4,P1,CHI
03763,P6,P5,JPN
03764,P1,P2,ITA
03765,P3,P4,GER
03766,P3,P4,KOR
03767,P1,P2,ITA
03768,P1,P2,ITA
03769,P9,P0,SPA
03770,P7,P6,JPN
03771,P4,P1,CHI
03772,P6,P5,TUR
03773,P2,P3,ITA
03774,P1,P2,GER
03776,P2,P3,FRE
03777,P6,P5,SPA
03778,P8,P7,GER
03779,P6,P5,TEL
03780,P7,P6,TEL
03781,P3,P4,KOR
03782,P6,P5,KOR
03783,P9,P0,JPN
03784,P2,P3,ITA
03785,P4,P1,GER
03786,P2,P3,CHI
03787,P2,P3,SPA
03788,P1,P2,GER
03790,P6,P5,ARA
03791,P9,P0,CHI
03792,P3,P4,ARA
03793,P3,P4,TEL
03794,P7,P6,CHI
03795,P1,P2,FRE
03797,P9,P0,TUR
03798,P7,P6,FRE
03800,P3,P4,CHI
03801,P9,P0,GER
03803,P2,P3,FRE
03804,P8,P7,FRE
03805,P3,P4,GER
03806,P9,P0,KOR
03807,P3,P4,TEL
03808,P2,P3,JPN
03809,P3,P4,GER
03811,P9,P0,CHI
03813,P8,P7,ARA
03814,P2,P3,ARA
03815,P3,P4,HIN
03816,P6,P5,SPA
03817,P9,P0,TEL
03818,P6,P5,FRE
03820,P8,P7,TEL
03821,P7,P6,JPN
03822,P6,P5,ITA
03823,P6,P5,CHI
03824,P8,P7,TEL
03825,P8,P7,ARA
03826,P7,P6,GER
03827,P4,P1,ARA
03828,P1,P2,GER
03829,P2,P3,TUR
03830,P3,P4,GER
03831,P7,P6,ITA
03833,P9,P0,TUR
03835,P3,P4,JPN
03836,P8,P7,ARA
03837,P1,P2,SPA
03839,P4,P1,SPA
03840,P2,P3,JPN
03843,P9,P0,GER
03844,P6,P5,HIN
03845,P9,P0,TUR
03846,P4,P1,JPN
03847,P3,P4,HIN
03848,P9,P0,TUR
03849,P9,P0,ITA
03850,P9,P0,KOR
03851,P9,P0,GER
03852,P7,P6,HIN
03853,P2,P3,KOR
03854,P6,P5,GER
03855,P1,P2,HIN
03856,P3,P4,JPN
03857,P7,P6,HIN
03858,P1,P2,ARA
03859,P9,P0,JPN
03860,P6,P5,TUR
03861,P3,P4,ITA
03862,P1,P2,GER
03863,P8,P7,ITA
03864,P2,P3,ITA
03865,P9,P0,TUR
03866,P2,P3,HIN
03867,P1,P2,FRE
03868,P2,P3,FRE
03869,P1,P2,HIN
03870,P6,P5,TEL
03871,P3,P4,FRE
03872,P1,P2,HIN
03873,P9,P0,ARA
03874,P7,P6,CHI
03875,P9,P0,FRE
03876,P2,P3,SPA
03877,P4,P1,TUR
03878,P9,P0,KOR
03879,P8,P7,JPN
03880,P2,P3,FRE
03881,P4,P1,GER
03883,P4,P1,JPN
03884,P8,P7,TEL
03885,P8,P7,FRE
03886,P7,P6,GER
03887,P2,P3,FRE
03891,P8,P7,KOR
03892,P6,P5,GER
03893,P8,P7,JPN
03894,P9,P0,ARA
03895,P8,P7,TUR
03896,P3,P4,GER
03897,P2,P3,GER
03898,P2,P3,CHI
03899,P3,P4,HIN
03900,P1,P2,TEL
03901,P4,P1,HIN
03902,P6,P5,ITA
03903,P1,P2,FRE
03905,P1,P2,GER
03906,P1,P2,GER
03907,P1,P2,CHI
03909,P1,P2,JPN
03911,P3,P4,HIN
03912,P3,P4,TUR
03913,P7,P6,HIN
03914,P3,P4,TEL
03915,P3,P4,TUR
03916,P3,P4,KOR
03917,P6,P5,GER
03918,P4,P1,KOR
03919,P7,P6,HIN
03920,P9,P0,SPA
03923,P2,P3,HIN
03925,P9,P0,CHI
03926,P3,P4,TEL
03927,P4,P1,CHI
03928,P3,P4,ARA
03929,P3,P4,CHI
03930,P1,P2,ARA
03931,P1,P2,TEL
03932,P3,P4,JPN
03933,P6,P5,ITA
03934,P7,P6,GER
03935,P1,P2,JPN
03936,P2,P3,GER
03938,P1,P2,JPN
03939,P7,P6,ITA
03940,P6,P5,ITA
03941,P3,P4,TUR
03942,P2,P3,TUR
03944,P9,P0,ITA
03945,P7,P6,CHI
03946,P5,P4,SPA
03947,P3,P4,JPN
03948,P3,P4,TEL
03949,P9,P0,KOR
03950,P8,P7,TUR
03951,P6,P5,KOR
03954,P1,P2,TUR
03955,P3,P4,ARA
03956,P2,P3,ARA
03959,P9,P0,KOR
03960,P6,P5,JPN
03961,P7,P6,ARA
03962,P3,P4,JPN
03963,P7,P6,ITA
03964,P3,P4,ITA
03965,P2,P3,SPA
03966,P3,P4,KOR
03967,P1,P2,FRE
03968,P8,P7,HIN
03969,P1,P2,TEL
03970,P9,P0,SPA
03971,P2,P3,TEL
03972,P3,P4,TUR
03973,P2,P3,KOR
03974,P2,P3,JPN
03975,P9,P0,FRE
03976,P1,P2,FRE
03978,P2,P3,TUR
03979,P8,P7,KOR
03980,P1,P2,TUR
03981,P9,P0,HIN
03982,P2,P3,ITA
03984,P6,P5,GER
03985,P8,P7,KOR
03988,P9,P0,KOR
03989,P8,P7,ARA
03990,P8,P7,HIN
03991,P9,P0,JPN
03992,P6,P5,TEL
03994,P1,P2,ITA
03995,P8,P7,SPA
03996,P4,P1,JPN
03997,P1,P2,TUR
03998,P8,P7,KOR
03999,P2,P3,JPN
04000,P4,P1,KOR
04001,P8,P7,KOR
04002,P3,P4,CHI
04003,P6,P5,TEL
04004,P9,P0,ITA
04006,P1,P2,SPA
04007,P2,P3,KOR
04008,P4,P1,KOR
04009,P1,P2,GER
04010,P3,P4,TUR
04011,P2,P3,KOR
04012,P6,P5,SPA
04014,P2,P3,ARA
04015,P8,P7,TUR
04016,P9,P0,KOR
04017,P6,P5,TEL
04019,P7,P6,TUR
04020,P8,P7,ITA
04021,P2,P3,JPN
04022,P2,P3,TUR
04023,P7,P6,ITA
04024,P6,P5,FRE
04025,P7,P6,KOR
04026,P4,P1,KOR
04027,P1,P2,FRE
04028,P9,P0,SPA
04029,P2,P3,JPN
04030,P8,P7,JPN
04031,P3,P4,TUR
04033,P4,P1,FRE
04034,P7,P6,SPA
04035,P2,P3,HIN
04036,P4,P1,CHI
04037,P1,P2,TEL
04038,P2,P3,TUR
04039,P1,P2,TEL
04040,P1,P2,HIN
04041,P9,P0,GER
04042,P8,P7,JPN
04043,P3,P4,HIN
04044,P3,P4,SPA
04046,P4,P1,KOR
04047,P6,P5,FRE
04048,P6,P5,FRE
04049,P4,P1,CHI
04050,P4,P1,TEL
04051,P6,P5,HIN
04052,P4,P1,ARA
04054,P9,P0,KOR
04055,P3,P4,SPA
04056,P8,P7,GER
04057,P2,P3,CHI
04058,P1,P2,TUR
04059,P3,P4,GER
04060,P1,P2,FRE
04061,P2,P3,FRE
04062,P3,P4,GER
04064,P1,P2,FRE
04065,P2,P3,FRE
04066,P8,P7,HIN
04067,P4,P1,JPN
04069,P1,P2,SPA
04070,P2,P3,SPA
04071,P9,P0,GER
04072,P4,P1,ARA
04073,P8,P7,GER
04074,P9,P0,ITA
04076,P6,P5,KOR
04079,P3,P4,CHI
04080,P4,P1,CHI
04081,P4,P1,TEL
04082,P9,P0,HIN
04085,P2,P3,ITA
04088,P4,P1,CHI
04089,P1,P2,JPN
04090,P7,P6,HIN
04091,P9,P0,CHI
04092,P6,P5,JPN
04093,P8,P7,ARA
04094,P2,P3,TUR
04096,P7,P6,KOR
04097,P8,P7,HIN
04098,P2,P3,ITA
04099,P3,P4,TUR
04100,P6,P5,FRE
04101,P9,P0,KOR
04102,P2,P3,TEL
04105,P2,P3,SPA
04107,P6,P5,TEL
04108,P3,P4,JPN
04109,P9,P0,CHI
04110,P9,P0,CHI
04111,P9,P0,CHI
04112,P6,P5,JPN
04113,P2,P3,KOR
04114,P2,P3,HIN
04115,P6,P5,HIN
04116,P2,P3,CHI
04117,P2,P3,CHI
04118,P8,P7,CHI
04119,P1,P2,JPN
04120,P8,P7,FRE
04122,P8,P7,GER
04123,P8,P7,ARA
04124,P1,P2,GER
04125,P8,P7,ARA
04127,P7,P6,ARA
04128,P7,P6,TEL
04129,P9,P0,KOR
04130,P6,P5,KOR
04131,P4,P1,ARA
04132,P1,P2,GER
04133,P6,P5,TUR
04134,P2,P3,GER
04135,P2,P3,TEL
04136,P2,P3,ARA
04137,P7,P6,ARA
04138,P4,P1,KOR
04139,P1,P2,GER
04140,P6,P5,CHI
04141,P4,P1,JPN
04142,P2,P3,HIN
04143,P9,P0,ARA
04144,P9,P0,ARA
04146,P9,P0,FRE
04147,P9,P0,SPA
04148,P2,P3,HIN
04149,P1,P2,ITA
04150,P2,P3,ITA
04151,P1,P2,KOR
04153,P1,P2,ITA
04154,P6,P5,CHI
04155,P9,P0,FRE
04156,P8,P7,ARA
04157,P2,P3,JPN
04160,P4,P1,JPN
04161,P1,P2,JPN
04162,P7,P6,JPN
04163,P2,P3,GER
04164,P8,P7,ITA
04165,P8,P7,ITA
04166,P9,P0,TUR
04167,P6,P5,HIN
04168,P3,P4,TEL
04169,P8,P7,TEL
04170,P8,P7,SPA
04171,P7,P6,JPN
04172,P1,P2,KOR
04173,P6,P5,TUR
04174,P3,P4,ARA
04175,P3,P4,TEL
04176,P6,P5,TUR
04177,P8,P7,TEL
04178,P4,P1,ARA
04180,P9,P0,SPA
04181,P7,P6,GER
04182,P1,P2,TUR
04183,P1,P2,ITA
04185,P1,P2,TUR
04186,P1,P2,CHI
04188,P1,P2,TUR
04190,P8,P7,GER
04191,P6,P5,ARA
04192,P1,P2,ITA
04194,P9,P0,TEL
04195,P3,P4,HIN
04196,P2,P3,HIN
04197,P1,P2,TUR
04198,P6,P5,ARA
04199,P3,P4,TEL
04200,P1,P2,KOR
04201,P9,P0,FRE
04202,P9,P0,CHI
04203,P3,P4,TUR
04204,P3,P4,SPA
04206,P8,P7,JPN
04208,P8,P7,JPN
04209,P7,P6,HIN
04210,P7,P6,ITA
04211,P1,P2,GER
04212,P1,P2,ARA
04214,P3,P4,FRE
04215,P2,P3,ARA
04216,P9,P0,GER
04217,P2,P3,FRE
04218,P6,P5,TUR
04219,P2,P3,HIN
04220,P6,P5,CHI
04221,P1,P2,HIN
04222,P1,P2,CHI
04223,P6,P5,TUR
04224,P6,P5,JPN
04225,P6,P5,KOR
04226,P1,P2,TEL
04227,P2,P3,JPN
04228,P4,P1,SPA
04229,P7,P6,HIN
04230,P3,P4,TEL
04231,P6,P5,CHI
04232,P6,P5,ARA
04234,P1,P2,GER
04235,P2,P3,FRE
04236,P3,P4,ITA
04237,P3,P4,TEL
04238,P2,P3,ARA
04239,P3,P4,TEL
04240,P8,P7,HIN
04242,P6,P5,TUR
04243,P2,P3,HIN
04244,P8,P7,TUR
04245,P7,P6,KOR
04246,P2,P3,HIN
04247,P2,P3,TUR
04248,P3,P4,KOR
04249,P1,P2,HIN
04250,P3,P4,ITA
04251,P2,P3,HIN
04252,P3,P4,HIN
04253,P8,P7,FRE
04255,P1,P2,GER
04256,P3,P4,TUR
04257,P6,P5,TEL
04258,P9,P0,SPA
04259,P1,P2,CHI
04260,P3,P4,JPN
04262,P2,P3,CHI
04263,P2,P3,FRE
04265,P1,P2,SPA
04266,P9,P0,GER
04267,P1,P2,GER
04268,P1,P2,KOR
04269,P3,P4,JPN
04270,P2,P3,TUR
04271,P2,P3,ITA
04272,P8,P7,HIN
04273,P9,P0,JPN
04274,P9,P0,ARA
04275,P2,P3,ITA
04276,P7,P6,ITA
04277,P2,P3,ITA
04278,P8,P7,CHI
04279,P8,P7,GER
04280,P7,P6,ARA
04281,P2,P3,CHI
04283,P1,P2,CHI
04284,P6,P5,CHI
04285,P9,P0,TUR
04286,P1,P2,SPA
04289,P8,P7,CHI
04292,P9,P0,ARA
04293,P2,P3,GER
04295,P6,P5,ITA
04296,P6,P5,SPA
04297,P2,P3,HIN
04298,P8,P7,TEL
04299,P9,P0,JPN
04301,P6,P5,HIN
04302,P2,P3,GER
04303,P1,P2,FRE
04304,P7,P6,GER
04305,P4,P1,SPA
04307,P4,P1,ITA
04308,P4,P1,CHI
04309,P1,P2,TEL
04310,P3,P4,TUR
04311,P3,P4,HIN
04313,P3,P4,ITA
04314,P7,P6,ITA
04315,P9,P0,FRE
04316,P2,P3,ITA
04317,P1,P2,KOR
04318,P3,P4,CHI
04320,P3,P4,JPN
04322,P2,P3,TEL
04323,P1,P2,KOR
04324,P8,P7,TEL
04325,P8,P7,SPA
04326,P3,P4,HIN
04327,P8,P7,SPA
04328,P2,P3,ITA
04330,P9,P0,FRE
04331,P8,P7,FRE
04332,P8,P7,TUR
04333,P2,P3,HIN
04335,P9,P0,ARA
04337,P7,P6,FRE
04338,P6,P5,JPN
04339,P8,P7,TUR
04340,P1,P2,TUR
04341,P6,P5,SPA
04343,P6,P5,TEL
04344,P1,P2,ITA
04345,P4,P1,ITA
04346,P9,P0,ITA
04347,P1,P2,ITA
04348,P4,P1,JPN
04349,P1,P2,TUR
04350,P3,P4,SPA
04351,P2,P3,ITA
04352,P7,P6,SPA
04353,P1,P2,JPN
04354,P3,P4,KOR
04356,P2,P3,ITA
04357,P9,P0,JPN
04358,P4,P1,SPA
04359,P7,P6,CHI
04360,P2,P3,TUR
04362,P2,P3,TUR
04363,P7,P6,CHI
04364,P8,P7,GER
04365,P7,P6,HIN
04366,P1,P2,CHI
04367,P4,P1,ARA
04368,P3,P4,ITA
04369,P3,P4,TUR
04370,P6,P5,GER
04372,P1,P2,GER
04373,P8,P7,CHI
04374,P9,P0,FRE
04375,P6,P5,TEL
04376,P2,P3,SPA
04377,P2,P3,GER
04378,P7,P6,GER
04379,P8,P7,ARA
04380,P1,P2,ARA
04381,P4,P1,ARA
04382,P2,P3,JPN
04383,P8,P7,HIN
04385,P4,P1,KOR
04387,P1,P2,TEL
04388,P2,P3,SPA
04389,P9,P0,GER
04390,P9,P0,GER
04391,P6,P5,JPN
04392,P7,P6,ITA
04394,P9,P0,GER
04395,P7,P6,ARA
04396,P4,P1,TEL
04397,P6,P5,HIN
04398,P7,P6,JPN
04399,P6,P5,GER
04400,P6,P5,ITA
04401,P6,P5,CHI
04402,P3,P4,GER
04403,P6,P5,FRE
04404,P2,P3,TEL
04405,P6,P5,JPN
04406,P9,P0,CHI
04408,P8,P7,TEL
04409,P1,P2,TUR
04410,P9,P0,GER
04411,P2,P3,JPN
04413,P1,P2,HIN
04414,P7,P6,CHI
04415,P9,P0,GER
04416,P2,P3,ITA
04417,P6,P5,JPN
04418,P2,P3,TEL
04419,P1,P2,TEL
04420,P3,P4,CHI
04421,P6,P5,CHI
04422,P1,P2,HIN
04423,P8,P7,CHI
04425,P7,P6,ITA
04426,P1,P2,KOR
04427,P1,P2,GER
04429,P8,P7,GER
04430,P1,P2,HIN
04431,P3,P4,ARA
04432,P7,P6,KOR
04433,P7,P6,CHI
04434,P4,P1,SPA
04435,P8,P7,FRE
04436,P9,P0,ITA
04437,P2,P3,SPA
04438,P1,P2,ARA
04439,P2,P3,CHI
04440,P6,P5,ITA
04441,P6,P5,TUR
04442,P4,P1,TEL
04443,P2,P3,JPN
04445,P1,P2,GER
04446,P1,P2,FRE
04448,P9,P0,SPA
04449,P2,P3,GER
04450,P6,P5,CHI
04451,P2,P3,HIN
04452,P2,P3,ARA
04453,P4,P1,TEL
04454,P4,P1,KOR
04455,P9,P0,SPA
04457,P1,P2,ARA
04458,P7,P6,CHI
04459,P6,P5,FRE
04460,P9,P0,HIN
04461,P2,P3,FRE
04463,P6,P5,ITA
04464,P4,P1,KOR
04465,P2,P3,HIN
04466,P1,P2,FRE
04467,P2,P3,KOR
04468,P6,P5,CHI
04469,P3,P4,ITA
04470,P2,P3,CHI
04471,P7,P6,TEL
04472,P2,P3,HIN
04473,P6,P5,JPN
04474,P3,P4,ARA
04476,P8,P7,TEL
04477,P2,P3,TUR
04478,P6,P5,GER
04479,P1,P2,KOR
04481,P1,P2,TEL
04482,P8,P7,SPA
04483,P6,P5,TUR
04484,P6,P5,HIN
04485,P7,P6,HIN
04486,P9,P0,ITA
04487,P8,P7,TUR
04489,P6,P5,FRE
04491,P4,P1,KOR
04492,P6,P5,TUR
04493,P7,P6,ARA
04494,P9,P0,ARA
04495,P8,P7,SPA
04496,P6,P5,SPA
04497,P2,P3,GER
04498,P1,P2,GER
04499,P6,P5,SPA
04500,P3,P4,KOR
04501,P4,P1,FRE
04502,P1,P2,SPA
04504,P2,P3,CHI
04507,P8,P7,FRE
04508,P3,P4,ITA
04510,P3,P4,CHI
04511,P3,P4,TEL
04512,P2,P3,CHI
04513,P8,P7,JPN
04514,P3,P4,KOR
04515,P8,P7,TUR
04516,P6,P5,TUR
04517,P5,P4,SPA
04518,P6,P5,FRE
04519,P9,P0,CHI
04520,P2,P3,CHI
04521,P1,P2,ITA
04522,P7,P6,ARA
04523,P2,P3,FRE
04524,P9,P0,TUR
04525,P1,P2,TEL
04526,P1,P2,SPA
04527,P1,P2,HIN
04528,P2,P3,ITA
04529,P1,P2,CHI
04530,P8,P7,KOR
04531,P9,P0,FRE
04532,P8,P7,TUR
04533,P6,P5,FRE
04534,P6,P5,FRE
04535,P2,P3,HIN
04536,P9,P0,SPA
04537,P3,P4,CHI
04538,P8,P7,CHI
04539,P7,P6,CHI
04540,P2,P3,CHI
04541,P7,P6,GER
04542,P8,P7,TEL
04543,P6,P5,TUR
04544,P9,P0,SPA
04545,P9,P0,FRE
04546,P3,P4,FRE
04547,P3,P4,GER
04548,P8,P7,KOR
04549,P7,P6,HIN
04551,P4,P1,TUR
04552,P6,P5,TEL
04553,P3,P4,TUR
04554,P2,P3,HIN
04555,P1,P2,TUR
04556,P9,P0,CHI
04557,P7,P6,TUR
04558,P7,P6,TUR
04559,P2,P3,TEL
04560,P8,P7,KOR
04561,P9,P0,ITA
04563,P7,P6,CHI
04564,P2,P3,KOR
04565,P7,P6,CHI
04566,P6,P5,GER
04567,P6,P5,GER
04568,P9,P0,ITA
04569,P4,P1,FRE
04570,P7,P6,ITA
04571,P3,P4,KOR
04572,P3,P4,FRE
04573,P1,P2,HIN
04574,P7,P6,KOR
04575,P6,P5,HIN
04576,P4,P1,ITA
04577,P7,P6,CHI
04578,P1,P2,CHI
04579,P1,P2,KOR
04582,P1,P2,FRE
04583,P1,P2,SPA
04584,P8,P7,FRE
